ProductID,Category,ProductName,Price,Rating,Reviews,Description,InStock,ListedBy
1,Electronics,Samsung Galaxy S21,55.5,3.8,[Value for money  satisfied.*Will purchase again!*Met all my expectations.*Met all my expectations.*Excellent quality and features.],128GB storage  5G  Phantom Gray.|,10,Christopher Acosta
2,Electronics,Apple MacBook Pro 13,61,4.1,[Value for money  satisfied.*Excellent quality and features.*Value for money  satisfied.*Great product  highly recommend!],M2 chip  16GB RAM  512GB SSD.|,10,Ralph Elliott
3,Electronics,Sony WH-1000XM4,66.5,4.4,[Will purchase again!*Excellent quality and features.],Noise-canceling headphones  black.|,10,Joanna Adams
4,Electronics,Dell XPS 15,72,3.5,[Will purchase again!*Value for money  satisfied.*Value for money  satisfied.*Met all my expectations.],Intel Core i7  16GB RAM  1TB SSD.|,10,Aaron Martinez
5,Electronics,GoPro HERO10,77.5,3.8,[Will purchase again!*Excellent quality and features.*Excellent quality and features.*Excellent quality and features.],Waterproof action camera  5.3K60 video.|,10,Ralph Elliott
6,Electronics,Apple iPhone 13,83,4.1,[Excellent quality and features.*Excellent quality and features.*Met all my expectations.],128GB storage  6.1-inch display  Midnight.|,10,Joanna Adams
7,Electronics,Bose QuietComfort 35 II,88.5,4.4,[Excellent quality and features.*Met all my expectations.*Value for money  satisfied.],Wireless headphones  noise-canceling.|,10,Wendy Porter
8,Fashion,Nike Air Max 270,94,3.5,[Great product  highly recommend!*Great product  highly recommend!*Great product  highly recommend!],Lightweight running shoes  white/blue.|,10,Christopher Acosta
9,Fashion,Ray-Ban Wayfarer,99.5,3.8,[Met all my expectations.],Classic polarized sunglasses  black.|,10,Christopher Acosta
10,Fashion,Rolex Submariner,105,4.1,[Great product  highly recommend!*Excellent quality and features.],Luxury dive watch  stainless steel.|,10,Wendy Porter
11,Fashion,Gucci GG Marmont Bag,110.5,4.4,[Value for money  satisfied.*Will purchase again!*Great product  highly recommend!],Matelassé leather  small size.|,10,Joanna Adams
12,Fashion,Adidas Ultraboost 21,116,3.5,[Value for money  satisfied.*Will purchase again!],Performance running shoes  grey.|,10,Lindsay Lawrence
13,Fashion,Puma RS-X Toys,121.5,3.8,[Will purchase again!*Excellent quality and features.*Value for money  satisfied.],Fashion sneakers  multicolor.|,10,Ralph Elliott
14,Fashion,Levi's 501 Original Fit Jeans,127,4.1,[Will purchase again!*Excellent quality and features.*Met all my expectations.*Value for money  satisfied.*Value for money  satisfied.],Classic denim jeans  blue.|,10,Lindsay Lawrence
15,Home Appliances,Dyson V15 Detect,132.5,4.4,[Value for money  satisfied.],Cordless vacuum cleaner  laser technology.|,10,Joanna Adams
16,Home Appliances,Philips Hue Starter Kit,138,3.5,[Met all my expectations.*Excellent quality and features.*Will purchase again!*Excellent quality and features.*Will purchase again!],Smart LED bulbs with bridge.|,10,Joanna Adams
